objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Alta Tensione: Francia-Italia","19319","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","6781117","6.87617","7.9052","3.287","0","9251","thing","Power Grid: France/Italy","2","6","120","120","120","2008","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Stratelibri","Italian","2008","Italian first edition"
"Altay: L'Alba della Civiltà","334537","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","145844002","5.86913","6.76812","2.3077","4181","1454","thing","Altay: Dawn of Civilization","2","4","90","90","45","2025","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","MS Edizioni","Italian","2025","Italian edition"
"Android: Netrunner","124742","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","81790051","7.65184","7.89329","3.4164","85","47567","thing","Android: Netrunner","2","2","45","45","45","2018","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","Italian","2018","Italian revised core set edition"
"Ankh: Divinità Egizie","285967","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410322","7.2644","7.71738","3.1348","258","19907","thing","Ankh: Gods of Egypt","2","5","90","90","90","2021","2,3,4,5","2,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","CMON Global Limited; Guillotine Games","Italian","2021","Italian edition"
"Archipelago","105551","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","18868365","6.83379","7.25728","3.7425","722","11154","thing","Archipelago","2","5","240","240","30","2012","2,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","60","EUR","","","2013-04-07","","1","","","","Ludically","English","2012","English first edition"
"Arkcan Horror: Il Gioco di Carte – Lo Zampino di Miaolathotep: Pack Scenario","295594","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","84262726","5.78257","8.10502","3.4","0","2853","thing","Barkham Horror: The Card Game – The Meddling of Meowlathotep: Scenario Pack","1","4","120","120","60","2020","1,2,3,4","2,3","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Fantasy Flight Games","Italian","2020","Italian edition"
"Arkham Horror","15987","7.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","16008087","7.018","7.24071","3.5862","491","56020","thing","Arkham Horror","1","8","240","240","120","2006","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games; Nexus Editrice","Italian","2006","Italian first edition"
"Arkham Horror (Terza Edizione)","257499","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","64680063","7.14398","7.67819","3.375","354","22144","thing","Arkham Horror (Third Edition)","1","6","180","180","120","2018","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","Italian","0","Italian edition"
"Arkham Horror: Il Gioco di Carte","205637","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60487424","7.88824","8.11669","3.568","33","84173","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","asmodee; Asterion Press","Italian","2016","Italian edition"
"Arturo: un compleanno da paura","347017","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","95303938","0","6.32299","2","0","78","thing","Arturo: un compleanno da paura","2","5","30","30","15","2021","2,3,4,5","2,3,4","","","","","","","","standalone","","","","","","","","","","","","Ergo Ludo Editions","Italian","2021","Italian edition"
"Ascension: Chronicle of the Godslayer","69789","9.5","1","0","1","0","0","0","0","0","0","0","1","","","","","","11946954","6.75623","7.04474","2.1355","833","15837","thing","Ascension: Deckbuilding Game","1","4","30","30","30","2010","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Stone Blade Entertainment","English","2010","English first edition"
"Ascension: Delirium","249552","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","61951407","5.74328","7.72727","2","5623","727","thing","Ascension: Delirium","1","4","30","30","30","2018","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Stone Blade Entertainment","English","2018","English edition"
"Ascension: Dreamscape","185123","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","61951401","6.01552","7.62766","2.2778","3125","1625","thing","Ascension: Dreamscape","1","4","60","60","30","2015","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Stone Blade Entertainment","English","2015","English edition"
"Ashes Reborn: The Duchess of Deception","201900","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81790098","5.70621","7.65817","3","0","2581","thing","Ashes Reborn: The Duchess of Deception","2","4","60","60","30","2016","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Ashes Reborn: The Frostdale Giants","189634","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81790101","5.761","7.72107","3","0","2782","thing","Ashes Reborn: The Frostdale Giants","2","4","120","120","30","2016","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Ashes Reborn: The Law of Lions","226915","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","60819477","5.70035","7.95698","2.3333","0","2236","thing","Ashes Reborn: The Law of Lions","2","4","60","60","60","2017","2","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Ashes Reborn: The Roaring Rose","201899","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","81790099","5.70508","7.61604","2.6667","0","2526","thing","Ashes Reborn: The Roaring Rose","2","4","0","0","0","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Ashes Reborn: The Song of Soaksend","226916","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","60819475","5.70256","7.99305","3","0","2249","thing","Ashes Reborn: The Song of Soaksend","2","4","60","60","60","2017","1,2","1","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Ashes: La Rinascita dei Phoenixborn","167400","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","60819470","6.72971","7.30203","2.9104","870","12246","thing","Ashes Reborn: Rise of the Phoenixborn","2","4","120","120","30","2016","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Asterion Press","Italian","2016","Italian edition"
"Atmosfear","5641","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","14672865","5.57383","5.96059","1.7778","11198","2761","thing","Nightmare","3","6","60","60","60","1991","3,4,5,6","4,6","12+","Unplayable in another language","","1115727","","2193","","standalone","","","","","","2011-12-12","","","Gift from Iannez","","","","","",""
"Atmosfear: The DVD Board Game","12453","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","14672871","5.51326","5.70666","1.5867","22073","2613","thing","Atmosfear: The DVD Board Game","3","6","50","50","50","2003","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","28","96821","","2193","","standalone","","","","","","2011-12-12","","","Gift from Iannez","","","","","",""
"Axis & Allies: D-Day","10081","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","9404405","5.89988","6.45604","2.3575","3917","4497","thing","Axis & Allies: D-Day","2","3","120","120","120","2004","2,3","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","25","EUR","","","2009-10-31","","1","","","","Avalon Hill","English","2004","English first edition"
"Axis & Allies: Europe","520","9.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","8110118","5.95287","6.50894","2.8382","3516","4613","thing","Axis & Allies: Europe","2","4","210","210","210","1999","2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Avalon Hill","English","1999","English edition"
"Axis & Allies: Spring 1942, The World Is at War!","41863","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","9036969","6.18962","6.94223","3.1659","2299","7424","thing","Axis & Allies: 1942","2","5","240","240","240","2009","2,3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Avalon Hill; Wizards of the Coast","English","2009","English first edition"
"Aye, Dark Overlord! The Green Box","216014","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","40090671","5.58045","6.20038","1.1818","10701","1506","thing","Aye, Dark Overlord! The Green Box","4","7","60","60","30","2016","4,5,6,7","5","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","asmodee","English","2016","English edition 2016"
"Azul Duel","431038","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410277","6.31327","6.97638","2.284","1851","7955","thing","Azul Duel","2","2","45","45","30","2025","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Next Move Games","Italian","2025","Italian edition"
"Azul Mini","230802","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410285","7.60214","7.71126","1.7729","99","188939","thing","Azul","2","4","45","45","30","2023","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ghenos Games; Next Move Games","Italian","2023","Italian edition"
"BANG! La Pallottola!","30933","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60487793","6.53183","6.92047","1.8458","0","17566","thing","BANG! The Bullet!","3","8","40","40","20","2009","4,5,6,7,8","6,7","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","DV Games","English; Italian","2009","English/Italian edition"
"Bathroom Rush","271942","0","0","0","1","0","0","0","0","0","0","0","3","","Signed by the author","","","","60487471","5.50765","6.7402","1","24030","104","thing","Bathroom Rush","2","4","40","40","20","2018","3","3","","","","","","","","standalone","","","","","","","","","","","","back2brain","Italian","2018","Italian edition"
"Battlestar Galactica: Espansione Pegasus","43539","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","22927110","7.15016","7.88414","3.3131","0","14126","thing","Battlestar Galactica: The Board Game – Pegasus Expansion","3","7","180","180","120","2012","4,5,6,7","5,6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Stratelibri","Italian","2012","Italian edition"
"Battlestar Galactica: il gioco da tavolo","37111","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","17296596","7.52532","7.73112","3.2513","126","41129","thing","Battlestar Galactica: The Board Game","3","6","180","180","120","2012","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","40","EUR","","","2012-11-03","","1","","","","Giochi Uniti","Italian","2012","Italian second edition"
"Beowulf: The Legend","17449","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54390076","5.94104","6.38601","2.2578","3596","3096","thing","Beowulf: The Legend","2","5","60","60","60","2005","3,4,5","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2005","English first edition"
"Betrayal at Baldur's Gate","228660","8.4","0","0","1","0","0","0","0","0","0","0","3","","","","","","106677479","6.44054","7.06182","2.5765","1492","12678","thing","Betrayal at Baldur's Gate","3","6","60","60","60","2017","3,4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","40","EUR","","","2023-05-20","","1","","","","Avalon Hill","English","2017","English edition"
"Betrayal at House on the Hill","10547","8.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","12107199","6.78274","7.00622","2.399","783","87481","thing","Betrayal at House on the Hill","3","6","60","60","60","2010","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","2193","","standalone","","","","","","","","","","","","Avalon Hill; Hasbro; Wizards of the Coast","English","2010","English second edition (with problem tiles)"
"Betrayal at House on the Hill: Widow's Walk","198452","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","60819459","6.65678","7.42916","2.7692","0","19192","thing","Betrayal at House on the Hill: Widow's Walk","3","6","60","0","60","2016","3,4,5,6","4,5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Avalon Hill; Hasbro; Lone Shark Games; Wizards of the Coast","English","2016","English edition"
"Beyond Humanity: Colonies","260524","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","102497326","5.70296","7.81796","3.5","6346","490","thing","Beyond Humanity: Colonies","1","5","180","180","60","2022","1,2,3,4,5","1,4,5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Three-Headed Monster","English","2022","English edition"
"Black Orchestra","156858","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","81790568","6.96151","7.47912","2.4194","550","12703","thing","Black Orchestra","1","5","90","90","90","2020","1,2,3,4,5","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Starling Games (II)","Italian","2020","Italian edition"
"Bobbidi Boom","229369","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50865462","5.58097","6.55217","1.8125","10666","446","thing","Bobbidi Boom","3","5","30","30","20","2017","3,4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Fever Games","English; Italian","2017","English/Italian edition"
"Bonsai","366994","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410427","6.52095","7.15848","1.7778","1296","7106","thing","Bonsai","1","4","40","40","40","2023","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","DV Games","Italian","2023","Italian edition"
"Bonsai: Vigorous Growth and Specialists","394083","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410435","5.53541","6.64494","2.3333","0","765","thing","Bonsai: Vigorous Growth and Specialists","1","4","40","0","40","2023","1,2,3,4","4","8+","","","","","","","expansion","","","","","","","","","","","","DV Games","English; Italian","2023","English/Italian edition"
"Bonsai: Wabi Sabi","422336","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410433","5.59399","7.7295","2","0","867","thing","Bonsai: Wabi Sabi","1","5","40","40","40","2024","1,2,3,4,5","4,5","8","","","","","","","expansion","","","","","","","","","","","","DV Games","Italian","2024","Italian edition"
"Boss Monster 2: Il livello successivo","174973","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","41697110","6.1674","6.70354","1.8444","2378","13971","thing","Boss Monster 2: The Next Level","2","4","30","30","20","2017","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Fever Games","Italian","2017","Italian edition"
"Boss Monster: Costruisci il tuo dungeon","131835","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","33871211","6.0766","6.26846","1.8469","2812","40257","thing","Boss Monster: The Dungeon Building Card Game","2","4","30","30","30","2015","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Fever Games","Italian","2015","Italian edition"
"Boss Monster: Final Form! Promo Card","206997","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","41697134","5.51408","7.04839","0","0","242","thing","Boss Monster: Final Form! Promo Card","2","4","30","30","20","2016","","","21 and up–2","","","","","","","expansion","","","","","","","","","","","","Brotherwise Games","English","2016","English edition"
"Boss Monster: La rivincita degli eroi","133772","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","41697113","6.05177","6.76941","1.7647","0","10459","thing","Boss Monster: Tools of Hero-Kind","2","4","20","20","20","2016","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Fever Games","Italian","2016","Italian edition"
"Brivido","1613","5","1","0","1","0","0","0","0","0","0","0","3","","","","","","6987339","5.4426","5.45958","1.1053","30873","3403","thing","Ghost Castle","2","4","45","45","45","1985","2,3,4","4","5–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","MB Giochi","Italian","1985","MB Italian edition"
"Brivido","1613","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","111309692","5.4426","5.45958","1.1053","30873","3403","thing","Ghost Castle","2","4","45","45","45","2021","2,3,4","4","5–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Grandi Giochi","Italian","2021","Grandi Giochi Italian edition"
"Bulp!","31068","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","12207995","5.47928","5.10341","1.4","29731","214","thing","Bulp!","2","4","20","20","20","2007","","","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Giochix.it","English; German; Italian","2007","English/German/Italian edition"
"C'era Una Volta","1234","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","10165408","6.12403","6.35181","1.3716","2572","18672","thing","Once Upon a Time: The Storytelling Card Game","2","6","30","30","30","1995","3,4,5,6","5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","20","EUR","","","2010-03-14","","","","","","Unicorn (I)","Italian","1995","Italian edition 1995"
"Canvas","290236","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","111309415","6.92052","7.18682","1.7293","607","33308","thing","Canvas","1","5","30","30","30","2021","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","GateOnGames; Road To Infamy Games (R2i Games)","Italian","2021","Italian edition"
"Canvas: Reflections","335172","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111309430","6.29891","7.65713","2.037","0","8331","thing","Canvas: Reflections","1","5","30","30","30","2021","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Road To Infamy Games (R2i Games)","Italian","2021","Italian edition"
"Capitán Sonar","171131","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","81790359","7.28272","7.49549","2.2041","249","34467","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Pendragon Game Studio","Italian","2016","Italian edition"
"Carcassonne","822","10","15","0","1","0","0","0","0","0","0","0","1","","","","","","6780992","7.29894","7.41658","1.8838","240","227191","thing","Carcassonne","2","5","45","45","30","2004","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Hans im Glück","German","2004","German edition 2004"
"Carcassonne Mayflower","34615","9.5","5","2","1","0","0","0","0","0","0","0","1","","","","","","8390646","5.96531","6.48011","2.0457","3440","4329","thing","New World: A Carcassonne Game","2","5","45","45","45","2008","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","17","EUR","","","2009-07-10","","1","","","","Hans im Glück","German","2008","German edition"
"Carcassonne: 2. Erweiterung - Händler und Baumeister","5405","10","10","0","1","0","0","0","0","0","0","0","1","","","","","","6781005","7.32225","7.62486","2.0575","0","45228","thing","Carcassonne: Traders & Builders","2","6","60","60","60","2003","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Hans im Glück","German","2003","Hans im Glück German first edition 2003"
"Carcassonne: Abbey & Mayor","31784","10","0","0","1","0","0","0","0","0","0","0","1","","","","","","7172018","6.61694","7.15612","2.0189","0","19470","thing","Carcassonne: Abbey & Mayor","2","6","30","30","30","2007","2,3,4,5,6","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Rio Grande Games","English","2007","Rio Grande English first edition"
"Carcassonne: Bazar, Ponti e Castelli","66646","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","13002333","6.3273","7.03767","2.0588","0","13060","thing","Carcassonne: Expansion 8 – Bridges, Castles and Bazaars","2","6","45","45","30","2010","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Hans im Glück; Stupor Mundi; Venice Connection","Italian","2010","Venice Connection Italian edition"
